planet_mass,planet_radius,orbital_period,orbital_radius,star_mass,star_radius,star_luminosity
260.9138,16.811199999999996,3.105161,0.04497,1.269,1.296,4.259381424393514
1693.874,15.803199999999999,3.1414391,0.04714,1.406,1.851,4.933869141357473
460.81,18.872,1.6091788,0.03032,1.44,1.44,5.294734333724233
409.96200000000005,13.79952,3.5862202,0.05071,1.337,1.769,5.126392127907059
183.3706,10.584,2.2252577,0.03211,0.892,0.8785,2.91200350215045
101.3782,11.1776,3.3252725,0.03623,0.574,0.57,1.7802268917351
143.01000000000002,12.096,3.7955213,0.03946,0.569,0.5161,1.3943634858443608
39.852120000000006,8.09088,7.3279474,0.066517,0.7311,0.7214,1.8976851614295576
463.988,11.558399999999999,1.73185606,0.02384,0.6,0.5758,1.8225477384782531
156.0398,9.9008,2.7886556,0.032742,0.6017,0.5848,1.6885230258033068
835.4962,12.0848,1.9416423,0.02658,0.662,0.626,2.1450308066224113
436.65720000000005,13.048,3.0876262,0.03607,0.655,0.643,1.654344741999566
38.136,6.305599999999999,3.185315,0.04012,0.849,0.815,2.6238906469328
43.85640000000001,9.7776,3.583893,0.04667,1.056,1.086,3.328172652655058
266.6342,13.8432,1.915291,0.0312,1.1,1.56,3.601032593641527
12.597592,2.4415999999999998,9.55237,0.0907,1.09,1.3,3.6867759623528578
15.197196000000002,4.3456,21.05704,0.1536,1.09,1.3,3.2593775910629583
4.550896,2.04848,2.541,0.035,0.997,0.968,3.0862934811228384
2542.4,11.2,109.75,0.5109,1.47,1.49,5.269431825201841
131.887,11.4912,11.53533,0.1097,1.322,2.328,4.2672371138220555
10964.1,11.950399999999998,339.302,0.974,1.07,1.48,3.3086280063170355
113.4546,8.041599999999999,2.8758916,0.04288,1.3,1.497,4.5996029247227375
9.820020000000001,3.04752,11.6264,0.1049,1.15,1.43,4.25830400099712
9.670654,5.93488,27.13,0.148,1.15,1.43,3.792753684155977
244.0704,14.212799999999998,351.0,1.032,1.19,2.13,4.1593735903698095
249.02808,14.212799999999998,75.2203,0.362,1.12,1.76,3.6260201224420556
1015.371,12.264,21.2163979,0.1623,1.275,1.508,4.757903966518376
292.37600000000003,11.76,3.0925,0.045,1.28,1.19,4.407202595251823
535.493,13.6752,510.9,1.4,1.41,4.16,5.627528081762615
9.597560000000001,3.52688,17.471278,0.1334,1.031,0.985,3.4839971052616145
361.65639999999996,12.745599999999998,2.219,0.031,0.8,0.805,2.4580536353078495
7.69076,3.084592,15.507612,0.1236,1.044,1.205,3.0664459369423596
10.39206,3.3868799999999997,8.88029,0.078,0.81,0.945,2.3134616292871493
7.214060000000001,3.0777599999999996,28.5805,0.17,0.81,0.945,2.4923434714586477
5.78396,3.0374399999999997,38.3525,0.207,0.81,0.945,2.388699893473141
7.42063,1.71808,0.926118,0.018,0.9,1.13,3.0332012397182284
6.10176,2.2478399999999996,6.441008,0.0629,0.8,0.769,2.62436809437226
15.89,2.502976,16.202157,0.1164,0.801,0.779,2.5559643371048795
219.28199999999998,15.455999999999998,3.52472,0.04747,1.148,1.203,3.7294169383228066
8.828484,1.743616,1.008035,0.02012,1.068,1.101,3.425039063586068
4.268054,1.5008,3.093292,0.037,0.794,0.778,2.4843303414742364
3.9597880000000005,1.4138879999999998,6.765159,0.062,0.794,0.778,2.2707755712941813
16.589160000000003,4.70624,6.03607,0.06356,0.92,1.03,3.005885891487495
60.50912000000001,9.363199999999999,14.2767,0.1228,1.212,2.943,4.126973892709341
2.609138,1.360912,4.040295,0.05727,1.104,1.157,3.609749577646157
6.61024,2.326128,9.573083,0.1017,1.104,1.157,3.730930463535151
7.91322,2.604896,47.42489,0.2958,1.104,1.157,3.5374213668724757
8.320003999999999,1.8705119999999997,17.667087,0.1162,0.75,0.73,2.046734755176461
3.409994,1.8681599999999998,29.79749,0.1646,0.75,0.73,1.7557747350415591
3.089016,1.5318239999999999,5.70588,0.04749,0.439,0.439,1.2497406983939128
375.004,16.128,4.12692,0.0568,1.44,1.57,5.358526890851438
18.494371,2.1972159999999996,22.89104,0.1357,1.26,1.446,4.668719597746561
5.021240000000001,1.7024,0.959624,0.0186,0.94,0.87,3.003040379067789
9.78824,2.856,29.83832,0.1841,0.94,0.87,2.9767950305418664
77.5432,9.7104,18.71204,0.1436,1.127,1.277,3.66312526180511
104.87400000000001,11.088,18.1801,0.168,1.24,1.2,4.737964576919881
9.597560000000001,1.812608,6.584,0.0733,1.21,1.26,4.283300063659273
3.3496120000000005,1.3919359999999998,2.882,0.0422,1.21,1.26,3.894574043402997
4.128222,1.469776,5.516,0.0651,1.21,1.26,4.059989501908731
3219.3140000000003,12.700799999999997,686.8,1.66,1.26,2.41,4.691233441303321
73.09400000000001,11.424,3.02358,0.041,0.91,1.0,2.961392908631522
31.78,10.975999999999999,4.94739,0.058,1.07,0.94,3.234265853066035
7.7861,2.44832,14.33902,0.12,1.126,1.194,3.5691032172214205
21.896420000000003,2.1784,7.1079477,0.0719,0.99,0.912,3.06554609826476
15.317960000000001,2.7182399999999998,20.54383,0.1458,0.99,0.912,3.145093314488087
10.201379999999999,2.78768,6.398042,0.0604,0.66,0.71,2.322569636995594
9.597560000000001,2.72832,18.8805,0.1233,0.66,0.71,1.816524725336662
149.36599999999999,11.536,3.50928,0.046,1.05,1.25,3.378907468762203
73.09400000000001,11.088,3.97101,0.049,1.0,1.33,2.8384152044222324
8.67594,11.76,5.39792,0.05664,0.832,0.78,2.2424129744214976
1323.3509800000002,11.558399999999999,111.436765,0.4603,0.98,0.98,2.8711362341265656
